ENCODED_MCT,TA_YM,HPSN_MCT_BZN_CD_NM,closure_probability,risk_score,risk_level,risk_type,priority,classification_confidence
1A9644F28E,202412,,0.8426709,84,Very High,고객 이탈형,important,0.5
06A87DAA45,202412,뚝섬,0.81318015,81,Very High,기타 위험,normal,0.0
259546987D,202412,왕십리,0.800866,80,Very High,고객 이탈형,important,0.5
DD45EECEE3,202412,,0.7237879,72,High,고객 이탈형,important,0.5
BF88DF05E7,202412,왕십리,0.69504744,69,High,종합 위기형,critical,0.85
C56839C38F,202412,뚝섬,0.6985216,69,High,고객 이탈형,important,0.5
790D3285E3,202412,,0.6917238,69,High,고객 이탈형,important,0.3
932F4562E9,202412,왕십리,0.6957901,69,High,배달 의존형,watch,0.5
1ABAFAF53E,202412,왕십리,0.6883415,68,High,배달 의존형,watch,0.4180000000000001
94795C00AE,202412,성수,0.6859421,68,High,고객 이탈형,important,0.5
0B36DDFB1B,202412,왕십리,0.6811601,68,High,고객 이탈형,important,0.5
50CCBE90E1,202412,,0.664068,66,High,배달 의존형,watch,0.5
4CAFD6C3F4,202412,왕십리,0.63210094,63,High,고객 이탈형,important,0.5
44A9291640,202412,성수,0.6178024,61,High,고객 이탈형,important,0.3
FF55272DEB,202412,뚝섬,0.6143115,61,High,고객 이탈형,important,0.5
DD4FCA5BE6,202412,,0.6118045,61,High,종합 위기형,critical,0.3
F7E9A69F8D,202412,,0.6017408,60,High,종합 위기형,critical,0.85
CC35AA9223,202412,,0.5737425,57,Medium,정상,normal,0.0
DE1EB08231,202412,,0.5784203,57,Medium,정상,normal,0.0
6FD5401343,202412,성수,0.5713967,57,Medium,정상,normal,0.0
FDE93C77D7,202412,,0.57041323,57,Medium,정상,normal,0.0
E0B79043DA,202412,마장동,0.5661563,56,Medium,정상,normal,0.0
BA5B405677,202412,뚝섬,0.5631969,56,Medium,정상,normal,0.0
9A012C0993,202412,성수,0.563751,56,Medium,정상,normal,0.0
0B91BA490B,202412,성수,0.5655273,56,Medium,정상,normal,0.0
AFD6BFB090,202412,,0.56234145,56,Medium,정상,normal,0.0
0E8F0F8410,202412,마장동,0.56944215,56,Medium,정상,normal,0.0
9AFD0B9DFA,202412,왕십리,0.5629102,56,Medium,정상,normal,0.0
CBBE8C9ACE,202412,,0.5596654,55,Medium,정상,normal,0.0
B113A0DC35,202412,뚝섬,0.55141073,55,Medium,정상,normal,0.0
2E11392CA8,202412,마장동,0.55368143,55,Medium,정상,normal,0.0
12E063A8BA,202412,,0.5510635,55,Medium,정상,normal,0.0
C2261977A8,202412,,0.5536006,55,Medium,정상,normal,0.0
33EA4BF6E9,202412,뚝섬,0.5591983,55,Medium,정상,normal,0.0
D2863D50C7,202412,왕십리,0.5414752,54,Medium,정상,normal,0.0
0ACB1E7718,202412,,0.54021174,54,Medium,정상,normal,0.0
DB02976DF2,202412,답십리,0.546021,54,Medium,정상,normal,0.0
FBBAC0BE34,202412,,0.54328936,54,Medium,정상,normal,0.0
E7EF031D24,202412,,0.5436563,54,Medium,정상,normal,0.0
4AB5E20EE4,202412,성수,0.5472471,54,Medium,정상,normal,0.0
DF8B176772,202412,성수,0.5451402,54,Medium,정상,normal,0.0
92189088E5,202412,뚝섬,0.53854394,53,Medium,정상,normal,0.0
04A4FBD34D,202412,뚝섬,0.5376572,53,Medium,정상,normal,0.0
209ED3E24F,202412,한양대,0.53653115,53,Medium,정상,normal,0.0
86DFE48F6F,202412,왕십리,0.5311468,53,Medium,정상,normal,0.0
9F524F74CC,202412,옥수,0.5375258,53,Medium,정상,normal,0.0
656E1E70AF,202412,성수,0.536359,53,Medium,정상,normal,0.0
7D29798181,202412,마장동,0.5330245,53,Medium,정상,normal,0.0
35A9CD5DCA,202412,성수,0.52897483,52,Medium,정상,normal,0.0
2D7E5C7167,202412,,0.52040607,52,Medium,정상,normal,0.0
936ABF3C7F,202412,,0.52779853,52,Medium,정상,normal,0.0
B01C36F034,202412,뚝섬,0.5115062,51,Medium,정상,normal,0.0
F0228002E3,202412,성수,0.5199127,51,Medium,정상,normal,0.0
3521453C6F,202412,마장동,0.51140606,51,Medium,정상,normal,0.0
CAF68EC2CB,202412,마장동,0.5077962,50,Medium,정상,normal,0.0
F0EEF6ECD0,202412,,0.5090665,50,Medium,정상,normal,0.0
AF043B6773,202412,금남시장,0.5068033,50,Medium,정상,normal,0.0
C1D8EF8820,202412,왕십리,0.50174797,50,Medium,정상,normal,0.0
5113D031FD,202412,,0.50761235,50,Medium,정상,normal,0.0
DA4DC755CB,202412,,0.5029259,50,Medium,정상,normal,0.0
A869CB21ED,202412,왕십리,0.505091,50,Medium,정상,normal,0.0
8A9ADB6743,202412,성수,0.5017411,50,Medium,정상,normal,0.0
2BFD9CB05E,202412,,0.49818444,49,Medium,정상,normal,0.0
A41AFFA748,202412,왕십리,0.49185807,49,Medium,정상,normal,0.0
5EB844551A,202412,왕십리,0.4986913,49,Medium,정상,normal,0.0
F1071108E7,202412,왕십리,0.4964571,49,Medium,정상,normal,0.0
AD0F358619,202412,성수,0.49989942,49,Medium,정상,normal,0.0
407EA64E55,202412,왕십리,0.4917013,49,Medium,정상,normal,0.0
CD14EDE90F,202412,,0.49525082,49,Medium,정상,normal,0.0
